Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
1,58,Female,Married,IT,Manager,1,15488,28,15,4,2,1,3,4,14,No,6,54,17,4,4,4,20,3,No
2,48,Female,Married,Sales,Assistant,5,13079,28,6,9,1,2,1,1,6,Yes,2,45,1,4,1,2,25,2,No
3,34,Male,Married,Marketing,Assistant,1,13744,24,24,14,8,3,2,1,77,Yes,6,34,2,3,4,4,45,3,No
4,27,Female,Divorced,Marketing,Manager,1,6809,26,10,8,2,3,5,4,49,No,9,48,18,2,3,1,35,3,No
5,40,Male,Divorced,Marketing,Executive,1,10206,52,29,10,1,2,5,1,64,No,3,33,0,4,1,3,44,3,No
6,58,Male,Divorced,Finance,Assistant,3,16746,48,15,9,3,4,2,3,66,No,9,35,9,2,2,3,24,1,No
7,38,Male,Divorced,HR,Analyst,1,18995,55,29,1,1,4,5,1,43,No,2,55,13,1,1,3,40,2,No
8,42,Female,Divorced,Marketing,Manager,3,19035,24,4,9,0,3,2,3,30,No,5,46,12,4,2,4,13,1,No
9,30,Male,Married,IT,Analyst,5,14671,31,18,3,5,4,1,1,42,Yes,2,36,8,3,4,2,48,3,No
10,30,Male,Married,Marketing,Analyst,3,16210,31,18,11,9,3,1,2,76,No,7,53,5,3,3,4,39,2,No
11,43,Female,Married,Finance,Executive,5,8197,81,25,12,7,3,1,4,47,Yes,9,52,5,4,1,2,4,3,Yes
12,55,Female,Married,IT,Analyst,5,18553,76,17,10,9,2,2,2,81,No,7,36,18,2,2,3,12,1,No
13,59,Female,Divorced,Finance,Executive,3,10452,15,12,9,9,4,2,1,80,No,5,38,9,1,4,1,17,1,No
